date,state,daily,donations_new,donations_returning
2006-01-01,Malaysia,525,243,282
2006-01-02,Malaysia,227,83,144
2006-01-03,Malaysia,112,8,104
2006-01-04,Malaysia,391,286,105
2006-01-05,Malaysia,582,328,254
2006-01-06,Malaysia,324,162,162
2006-01-07,Malaysia,118,53,65
2006-01-08,Malaysia,795,368,427
2006-01-09,Malaysia,346,249,97
2006-01-10,Malaysia,2,0,2
2006-01-11,Malaysia,448,385,63
2006-01-12,Malaysia,805,708,97
2006-01-13,Malaysia,418,172,246
2006-01-14,Malaysia,315,240,75
2006-01-15,Malaysia,562,363,199
2006-01-16,Malaysia,584,412,172
2006-01-17,Malaysia,1219,1081,138
2006-01-18,Malaysia,862,694,168
2006-01-19,Malaysia,975,820,155
2006-01-20,Malaysia,704,515,189
2006-01-21,Malaysia,481,316,165
2006-01-22,Malaysia,397,378,19
2006-01-23,Malaysia,396,233,163
2006-01-24,Malaysia,1054,646,408
2006-01-25,Malaysia,785,618,167
2006-01-26,Malaysia,1196,727,469
2006-01-27,Malaysia,107,35,72
2006-01-28,Malaysia,170,25,145
2006-01-29,Malaysia,0,0,0
2006-01-30,Malaysia,42,32,10
2006-01-31,Malaysia,85,59,26
2006-02-01,Malaysia,276,154,122
2006-02-02,Malaysia,411,187,224
2006-02-03,Malaysia,199,98,101
2006-02-04,Malaysia,328,230,98
2006-02-05,Malaysia,425,170,255
2006-02-06,Malaysia,616,425,191
2006-02-07,Malaysia,759,560,199
2006-02-08,Malaysia,1456,1183,273
2006-02-09,Malaysia,1042,805,237
2006-02-10,Malaysia,1136,804,332
2006-02-11,Malaysia,2147,1980,167
2006-02-12,Malaysia,593,372,221
2006-02-13,Malaysia,219,69,150
2006-02-14,Malaysia,447,194,253
2006-02-15,Malaysia,799,677,122
2006-02-16,Malaysia,630,390,240
2006-02-17,Malaysia,238,119,119
2006-02-18,Malaysia,1211,910,301
2006-02-19,Malaysia,292,103,189
2006-02-20,Malaysia,333,228,105
2006-02-21,Malaysia,1461,929,532
2006-02-22,Malaysia,857,703,154
2006-02-23,Malaysia,702,421,281
2006-02-24,Malaysia,552,451,101
2006-02-25,Malaysia,760,512,248
2006-02-26,Malaysia,467,350,117
2006-02-27,Malaysia,721,467,254
2006-02-28,Malaysia,523,423,100
2006-03-01,Malaysia,827,621,206
2006-03-02,Malaysia,851,680,171
2006-03-03,Malaysia,623,437,186
2006-03-04,Malaysia,493,404,89
2006-03-05,Malaysia,994,814,180
2006-03-06,Malaysia,613,454,159
2006-03-07,Malaysia,581,403,178
2006-03-08,Malaysia,945,736,209
2006-03-09,Malaysia,603,482,121
2006-03-10,Malaysia,424,237,187
2006-03-11,Malaysia,539,458,81
2006-03-12,Malaysia,609,434,175
2006-03-13,Malaysia,399,233,166
2006-03-14,Malaysia,717,422,295
2006-03-15,Malaysia,816,503,313
2006-03-16,Malaysia,1269,776,493
2006-03-17,Malaysia,423,193,230
2006-03-18,Malaysia,475,377,98
2006-03-19,Malaysia,763,598,165
2006-03-20,Malaysia,448,237,211
2006-03-21,Malaysia,856,674,182
2006-03-22,Malaysia,602,441,161
2006-03-23,Malaysia,562,360,202
2006-03-24,Malaysia,441,328,113
2006-03-25,Malaysia,710,545,165
2006-03-26,Malaysia,434,256,178
2006-03-27,Malaysia,593,477,116
2006-03-28,Malaysia,756,636,120
2006-03-29,Malaysia,1329,1196,133
2006-03-30,Malaysia,1087,951,136
2006-03-31,Malaysia,742,513,229
2006-04-01,Malaysia,673,485,188
2006-04-02,Malaysia,403,305,98
2006-04-03,Malaysia,292,72,220
2006-04-04,Malaysia,773,588,185
2006-04-05,Malaysia,471,208,263
2006-04-06,Malaysia,405,255,150
2006-04-07,Malaysia,153,65,88
2006-04-08,Malaysia,742,534,208
2006-04-09,Malaysia,1230,1022,208
2006-04-10,Malaysia,566,333,233
2006-04-11,Malaysia,349,281,68
2006-04-12,Malaysia,353,206,147
2006-04-13,Malaysia,639,475,164
2006-04-14,Malaysia,681,393,288
2006-04-15,Malaysia,318,226,92
2006-04-16,Malaysia,659,439,220
2006-04-17,Malaysia,379,201,178
2006-04-18,Malaysia,519,298,221
2006-04-19,Malaysia,808,614,194
2006-04-20,Malaysia,557,437,120
2006-04-21,Malaysia,518,215,303
2006-04-22,Malaysia,707,519,188
2006-04-23,Malaysia,898,655,243
2006-04-24,Malaysia,247,122,125
2006-04-25,Malaysia,235,151,84
2006-04-26,Malaysia,1302,787,515
2006-04-27,Malaysia,593,479,114
2006-04-28,Malaysia,440,252,188
2006-04-29,Malaysia,277,210,67
2006-04-30,Malaysia,388,228,160
2006-05-01,Malaysia,1928,1527,401
2006-05-02,Malaysia,337,179,158
2006-05-03,Malaysia,566,391,175
2006-05-04,Malaysia,401,250,151
2006-05-05,Malaysia,341,79,262
2006-05-06,Malaysia,984,711,273
2006-05-07,Malaysia,936,687,249
2006-05-08,Malaysia,379,184,195
2006-05-09,Malaysia,272,122,150
2006-05-10,Malaysia,454,344,110
2006-05-11,Malaysia,966,533,433
2006-05-12,Malaysia,1256,976,280
2006-05-13,Malaysia,582,447,135
2006-05-14,Malaysia,1315,810,505
2006-05-15,Malaysia,436,179,257
2006-05-16,Malaysia,454,302,152
2006-05-17,Malaysia,786,533,253
2006-05-18,Malaysia,423,293,130
2006-05-19,Malaysia,339,47,292
2006-05-20,Malaysia,727,549,178
2006-05-21,Malaysia,916,652,264
2006-05-22,Malaysia,239,146,93
2006-05-23,Malaysia,809,565,244
2006-05-24,Malaysia,666,461,205
2006-05-25,Malaysia,917,571,346
2006-05-26,Malaysia,602,284,318
2006-05-27,Malaysia,380,245,135
2006-05-28,Malaysia,804,565,239
2006-05-29,Malaysia,310,177,133
2006-05-30,Malaysia,383,179,204
2006-05-31,Malaysia,356,149,207
2006-06-01,Malaysia,531,303,228
2006-06-02,Malaysia,550,121,429
2006-06-03,Malaysia,310,192,118
2006-06-04,Malaysia,599,337,262
2006-06-05,Malaysia,175,68,107
2006-06-06,Malaysia,222,108,114
2006-06-07,Malaysia,481,287,194
2006-06-08,Malaysia,323,183,140
2006-06-09,Malaysia,248,170,78
2006-06-10,Malaysia,319,218,101
2006-06-11,Malaysia,709,432,277
2006-06-12,Malaysia,389,215,174
2006-06-13,Malaysia,279,128,151
2006-06-14,Malaysia,233,60,173
2006-06-15,Malaysia,763,476,287
2006-06-16,Malaysia,677,481,196
2006-06-17,Malaysia,847,543,304
2006-06-18,Malaysia,686,399,287
2006-06-19,Malaysia,408,298,110
2006-06-20,Malaysia,467,297,170
2006-06-21,Malaysia,617,345,272
2006-06-22,Malaysia,535,421,114
2006-06-23,Malaysia,476,188,288
2006-06-24,Malaysia,947,809,138
2006-06-25,Malaysia,625,437,188
2006-06-26,Malaysia,341,142,199
2006-06-27,Malaysia,856,628,228
2006-06-28,Malaysia,414,234,180
2006-06-29,Malaysia,462,303,159
2006-06-30,Malaysia,388,119,269
2006-07-01,Malaysia,216,24,192
2006-07-02,Malaysia,582,353,229
2006-07-03,Malaysia,407,279,128
2006-07-04,Malaysia,506,277,229
2006-07-05,Malaysia,452,239,213
2006-07-06,Malaysia,241,128,113
2006-07-07,Malaysia,364,270,94
2006-07-08,Malaysia,611,304,307
2006-07-09,Malaysia,341,170,171
2006-07-10,Malaysia,384,192,192
2006-07-11,Malaysia,901,538,363
2006-07-12,Malaysia,901,547,354
2006-07-13,Malaysia,1012,599,413
2006-07-14,Malaysia,918,568,350
2006-07-15,Malaysia,663,358,305
2006-07-16,Malaysia,543,333,210
2006-07-17,Malaysia,404,230,174
2006-07-18,Malaysia,522,219,303
2006-07-19,Malaysia,807,540,267
2006-07-20,Malaysia,756,501,255
2006-07-21,Malaysia,502,378,124
2006-07-22,Malaysia,661,244,417
2006-07-23,Malaysia,945,689,256
2006-07-24,Malaysia,504,228,276
2006-07-25,Malaysia,927,596,331
2006-07-26,Malaysia,1351,774,577
2006-07-27,Malaysia,910,630,280
2006-07-28,Malaysia,867,481,386
2006-07-29,Malaysia,703,462,241
2006-07-30,Malaysia,783,501,282
2006-07-31,Malaysia,167,72,95
2006-08-01,Malaysia,697,316,381
2006-08-02,Malaysia,526,266,260
2006-08-03,Malaysia,618,431,187
2006-08-04,Malaysia,263,133,130
2006-08-05,Malaysia,221,102,119
2006-08-06,Malaysia,801,545,256
2006-08-07,Malaysia,502,286,216
2006-08-08,Malaysia,433,239,194
2006-08-09,Malaysia,813,527,286
2006-08-10,Malaysia,732,446,286
2006-08-11,Malaysia,291,107,184
2006-08-12,Malaysia,752,548,204
