date,state,daily,donations_new,donations_returning,year
2006-01-01,Johor,87,36,51,2006
2006-01-02,Johor,15,4,11,2006
2006-01-03,Johor,8,2,6,2006
2006-01-04,Johor,33,25,8,2006
2006-01-05,Johor,20,16,4,2006
2006-01-06,Johor,4,0,4,2006
2006-01-07,Johor,1,1,0,2006
2006-01-08,Johor,86,10,76,2006
2006-01-09,Johor,3,3,0,2006
2006-01-10,Johor,2,0,2,2006
2006-01-11,Johor,14,6,8,2006
2006-01-12,Johor,38,33,5,2006
2006-01-13,Johor,24,20,4,2006
2006-01-14,Johor,2,1,1,2006
2006-01-15,Johor,148,18,130,2006
2006-01-16,Johor,75,62,13,2006
2006-01-17,Johor,25,19,6,2006
2006-01-18,Johor,26,21,5,2006
2006-01-19,Johor,50,44,6,2006
2006-01-20,Johor,62,51,11,2006
2006-01-21,Johor,40,32,8,2006
2006-01-22,Johor,2,2,0,2006
2006-01-23,Johor,8,2,6,2006
2006-01-24,Johor,3,0,3,2006
2006-01-25,Johor,12,7,5,2006
2006-01-26,Johor,12,7,5,2006
2006-01-27,Johor,22,9,13,2006
2006-01-28,Johor,0,0,0,2006
2006-01-29,Johor,0,0,0,2006
2006-01-30,Johor,2,2,0,2006
2006-01-31,Johor,0,0,0,2006
2006-02-01,Johor,0,0,0,2006
2006-02-02,Johor,23,8,15,2006
2006-02-03,Johor,8,1,7,2006
2006-02-04,Johor,0,0,0,2006
2006-02-05,Johor,98,53,45,2006
2006-02-06,Johor,14,9,5,2006
2006-02-07,Johor,48,17,31,2006
2006-02-08,Johor,85,45,40,2006
2006-02-09,Johor,16,8,8,2006
2006-02-10,Johor,23,16,7,2006
2006-02-11,Johor,10,9,1,2006
2006-02-12,Johor,126,27,99,2006
2006-02-13,Johor,16,11,5,2006
2006-02-14,Johor,35,28,7,2006
2006-02-15,Johor,32,23,9,2006
2006-02-16,Johor,14,8,6,2006
2006-02-17,Johor,13,7,6,2006
2006-02-18,Johor,54,53,1,2006
2006-02-19,Johor,4,3,1,2006
2006-02-20,Johor,11,5,6,2006
2006-02-21,Johor,70,53,17,2006
2006-02-22,Johor,20,11,9,2006
2006-02-23,Johor,4,1,3,2006
2006-02-24,Johor,63,52,11,2006
2006-02-25,Johor,0,0,0,2006
2006-02-26,Johor,79,34,45,2006
2006-02-27,Johor,25,16,9,2006
2006-02-28,Johor,23,16,7,2006
2006-03-01,Johor,16,12,4,2006
2006-03-02,Johor,2,0,2,2006
2006-03-03,Johor,31,25,6,2006
2006-03-04,Johor,0,0,0,2006
2006-03-05,Johor,36,9,27,2006
2006-03-06,Johor,9,0,9,2006
2006-03-07,Johor,48,42,6,2006
2006-03-08,Johor,21,13,8,2006
2006-03-09,Johor,20,3,17,2006
2006-03-10,Johor,29,23,6,2006
2006-03-11,Johor,1,0,1,2006
2006-03-12,Johor,117,48,69,2006
2006-03-13,Johor,8,2,6,2006
2006-03-14,Johor,11,3,8,2006
2006-03-15,Johor,10,3,7,2006
2006-03-16,Johor,186,143,43,2006
2006-03-17,Johor,50,42,8,2006
2006-03-18,Johor,1,0,1,2006
2006-03-19,Johor,0,0,0,2006
2006-03-20,Johor,8,2,6,2006
2006-03-21,Johor,13,8,5,2006
2006-03-22,Johor,2,1,1,2006
2006-03-23,Johor,2,0,2,2006
